tcell_id	h_age
1927791	adult
1927795	adult
1927792	adult
1927793	adult
1927794	adult
1938372	adult
1938373	adult
1938379	adult
1938380	adult
1938384	adult
1938385	adult
1938386	adult
1938387	adult
1938388	adult
1938389	adult
1938390	adult
1938391	adult
1938371	adult
1938344	adult
1938340	adult
1938341	adult
1938343	adult
1938346	adult
1938347	adult
1938348	adult
1938349	adult
1938350	adult
1938351	adult
1938352	adult
1938353	adult
1938354	adult
1938374	adult
1938375	adult
1938376	adult
1938377	adult
1938378	adult
1938381	adult
1938382	adult
1938383	adult
1938356	adult
1938357	adult
1938358	adult
1938359	adult
1938360	adult
1938361	adult
1938362	adult
1938363	adult
1938364	adult
1938365	adult
1938366	adult
1938367	adult
1938368	adult
1938369	adult
1938370	adult
2021554	1 week
1944500	adult
1944501	adult
1944502	adult
1944503	adult
1944504	adult
1944505	adult
1944506	adult
1944509	adult
1958986	adult
1958987	adult
1944516	adult
1944508	adult
1944510	adult
1944511	adult
1944512	adult
1944513	adult
1944514	adult
1944515	adult
1965175	adult
1965111	adult
1965187	adult
1965188	adult
1965189	adult
1965145	adult
1965110	adult
1965113	adult
1965114	adult
1965115	adult
1965116	adult
1965119	adult
1965120	adult
1965121	adult
1965123	adult
1965124	adult
1965125	adult
1965126	adult
1965127	adult
1965129	adult
1965130	adult
1965131	adult
1965133	adult
1965135	adult
1965136	adult
1965137	adult
1965139	adult
1965141	adult
1965142	adult
1965143	adult
1965146	adult
1965147	adult
1965148	adult
1965144	adult
1965149	adult
1965156	adult
1965159	adult
1965166	adult
1965162	adult
1965167	adult
1965168	adult
1965169	adult
1965174	adult
1965172	adult
1965177	adult
1965180	adult
1965179	adult
1965181	adult
1965182	adult
1965183	adult
1965185	adult
1965132	adult
1965118	adult
1943647	adult
1944819	adult
1965176	adult
1944820	adult
1962237	adult
1943614	adult
1965186	adult
1943643	adult
1943644	adult
1943645	adult
1943646	adult
1965134	adult
1981182	adult
1965117	adult
1965140	adult
1965158	adult
1965173	adult
1965184	adult
1981181	adult
1980709	newborn
1981113	adult
1981121	adult
1981122	adult
1981123	adult
1981124	adult
1981125	adult
1981126	adult
1981127	adult
1981128	adult
1981129	adult
1981130	adult
1981174	adult
1981166	adult
1981167	adult
1981168	adult
1981169	adult
1981170	adult
1981171	adult
1981172	adult
1981175	adult
1981173	adult
1981185	adult
1981186	adult
1981187	adult
1981188	adult
1981136	adult
1981137	adult
1981138	adult
1981139	adult
1981140	adult
1981144	adult
1981145	adult
1981146	adult
1981147	adult
1981148	adult
1981149	adult
1981154	adult
1981155	adult
1981164	adult
1981141	adult
1981142	adult
1981143	adult
1981150	adult
1981151	adult
1981152	adult
1981153	adult
1981156	adult
1981157	adult
1981158	adult
1981159	adult
1981160	adult
1981161	adult
1981162	adult
1981163	adult
1981165	adult
1981778	adult
1981779	adult
2073393	adult
2073394	adult
2030890	adult
2030891	adult
2030892	adult
2030893	adult
2030896	adult
2030895	adult
2030897	adult
2030898	adult
2030899	adult
2030900	adult
2030906	adult
2030905	adult
2030901	adult
2030902	adult
2030904	adult
2030907	adult
2030908	adult
2030909	adult
2030910	adult
2030911	adult
2030912	adult
2030913	adult
2030914	adult
2030915	adult
2030917	adult
2030918	adult
2030916	adult
2073380	adult
2827347	adult
2827384	adult
2683593	adult
2827346	adult
2683486	adult
2683487	adult
2683488	adult
2683475	adult
2683476	adult
2683477	adult
2683479	adult
2683484	adult
2683485	adult
2659846	adult
2659847	adult
2659848	adult
2659849	adult
2659845	adult
2659850	adult
2659851	adult
2659852	adult
2659853	adult
2659854	adult
2659855	adult
2659856	adult
2659857	adult
2659858	adult
2827342	adult
2827349	adult
2827350	adult
2827352	adult
2103429	adult
2114724	adult
2827330	adult
2827329	adult
2370821	adult
2370822	adult
2370823	adult
2370824	adult
2371444	adult
2371445	adult
2371446	adult
2371447	adult
2371448	adult
2371449	adult
2371450	adult
2371451	adult
2371452	adult
2371453	adult
2370812	adult
2370813	adult
2370810	adult
2370811	adult
2370819	adult
2370817	adult
2370815	adult
2370816	adult
2370818	adult
2422986	adult
2422987	adult
2422988	adult
2422989	adult
2422990	adult
2422995	adult
2422996	adult
2422991	adult
2422992	adult
2422994	adult
2422998	adult
2422999	adult
2423000	adult
2485101	1 day
2423002	adult
2423003	adult
2423004	adult
2423005	adult
2423006	adult
2422977	adult
2422978	adult
2422979	adult
2422980	adult
2422981	adult
2422982	adult
2423001	adult
2423007	adult
2423008	adult
2423009	adult
2423010	adult
2423011	adult
2423012	adult
2423013	adult
2423014	adult
2423015	adult
2423016	adult
2423017	adult
2423018	adult
2422975	adult
2683483	adult
2683478	adult
2519282	adult
2519285	adult
2519286	adult
2519283	adult
2519288	adult
2519289	adult
2519291	adult
2519292	adult
2519294	adult
2519296	adult
2519297	adult
2519299	adult
2519300	adult
2519302	adult
2519303	adult
2519305	adult
2519306	adult
2519308	adult
2519309	adult
2519311	adult
2519312	adult
2537089	adult
2855236	adult
2855224	adult
2855245	adult
2855256	adult
2855268	adult
2855283	adult
2855292	adult
2855261	adult
2855262	adult
2855263	adult
2855264	adult
2855265	adult
2855266	adult
2855267	adult
2855269	adult
2855270	adult
2855271	adult
2855273	adult
2855274	adult
2855275	adult
2855276	adult
2855277	adult
2855278	adult
2855279	adult
2855280	adult
2855281	adult
2855282	adult
2855284	adult
2855285	adult
2855286	adult
2855287	adult
2855288	adult
2855289	adult
2855290	adult
2855291	adult
2855293	adult
2855294	adult
2855296	adult
2855169	adult
2855170	adult
2855171	adult
2855173	adult
2855175	adult
2855176	adult
2855177	adult
2855178	adult
2855179	adult
2855180	adult
2855181	adult
2855182	adult
2855183	adult
2855184	adult
2855185	adult
2855187	adult
2855188	adult
2855189	adult
2855190	adult
2855191	adult
2855192	adult
2855194	adult
2855195	adult
2855196	adult
2855197	adult
2855198	adult
2855200	adult
2855201	adult
2855202	adult
2855203	adult
2855204	adult
2855205	adult
2855207	adult
2855208	adult
2855209	adult
2855210	adult
2855212	adult
2855213	adult
2855214	adult
2855216	adult
2855217	adult
2855218	adult
2855219	adult
2855220	adult
2855221	adult
2855222	adult
2855223	adult
2855225	adult
2855226	adult
2855227	adult
2855228	adult
2855229	adult
2855230	adult
2855231	adult
2855232	adult
2855233	adult
2855234	adult
2855235	adult
2855237	adult
2855238	adult
2855239	adult
2855240	adult
2855241	adult
2855242	adult
2855243	adult
2855244	adult
2855246	adult
2855247	adult
2855248	adult
2855249	adult
2855250	adult
2855251	adult
2855252	adult
2855253	adult
2855254	adult
2855255	adult
2855257	adult
2855258	adult
2855259	adult
2827388	adult
2827389	adult
2827390	adult
2827391	adult
2827327	adult
2827328	adult
2827331	adult
2827332	adult
2827333	adult
2827334	adult
2827336	adult
2827392	adult
2827335	adult
2827337	adult
2827385	adult
2827386	adult
2827387	adult
2827338	adult
2827378	adult
2827393	adult
2827394	adult
3059208	calf
3059210	calf
3059213	calf
3059206	calf
3059207	calf
3059212	calf
3059224	calf
3064591	calf
3340352	adult
3467719	1 month
3803825	newborn
3803826	newborn
3803827	newborn
3803828	newborn
3803829	newborn
3803834	newborn
3803835	newborn
3803836	newborn
3803837	newborn
3803838	newborn
3805566	adult
3805567	adult
3805568	adult
3805580	adult
3805572	adult
3805573	adult
3805575	adult
3805579	adult
3803839	newborn
3803840	newborn
3803841	newborn
3803842	newborn
3803843	newborn
3803847	newborn
3803848	newborn
3803850	newborn
3805571	adult
3805587	adult
3805396	adult
3805569	adult
3805584	adult
3805395	adult
3805577	adult
3805578	adult
3805591	adult
3805582	adult
3805583	adult
3805585	adult
3805586	adult
3805588	adult
3805589	adult
3803851	newborn
3803852	newborn
3803853	newborn
3805388	adult
3805390	adult
3805392	adult
3805393	adult
3805394	adult
3805397	adult
3805398	adult
3805399	adult
3805400	adult
3805403	adult
3805405	adult
3805407	adult
3805409	adult
3805411	adult
3805413	adult
3805415	adult
3805417	adult
3805437	adult
3805425	adult
3786844	adult
3803821	newborn
3803822	newborn
3803823	newborn
3803824	newborn
3803137	4 week
3803138	4 week
3803139	4 week
3805451	adult
3805452	adult
3805453	adult
4552023	adult
4552026	adult
3341539	adult
3341544	adult
3467732	1 month
3467733	1 month
3467738	1 month
3467739	1 month
3467740	1 month
3802949	newborn
3794490	adult
3794491	adult
3792699	adult
3792700	adult
3792701	adult
3792702	adult
3792704	adult
3792686	adult
3792697	adult
3792679	adult
3792680	adult
3792681	adult
3792682	adult
3792685	adult
3792687	adult
3792688	adult
3792689	adult
3792690	adult
3792691	adult
3792692	adult
3792693	adult
3792694	adult
3792695	adult
3792696	adult
3792698	adult
1503866	adult
8269364	6-8 week
7618840	child
12156864	adult
12156866	adult
12156867	adult
12156868	adult
12156869	adult
12156870	adult
12156872	adult
12156873	adult
12156875	adult
12156876	adult
12156877	adult
12156878	adult
12156879	adult
3805574	adult
22753609	6-8 week
22753608	6-8 week
22753610	6-8 week
7606593	child
7606594	child
7606596	child
7606598	child
7606600	child
7606601	child
7606604	child
7606575	child
7606576	child
7606577	child
7618842	child
7606579	child
7606580	child
7606581	child
7606582	child
7606583	child
7606584	child
7606585	child
7606586	child
7606587	child
7606588	child
7606589	child
7606590	child
7606591	child
7606592	child
1938355	adult
7618832	child
16746511	6-8 week
16746512	6-8 week
8269366	6-8 week
8269367	6-8 week
8269369	6-8 week
8269370	6-8 week
8269373	6-8 week
8269372	6-8 week
8269374	6-8 week
8269376	6-8 week
8269377	6-8 week
8269378	6-8 week
8269365	6-8 week
8269386	6-8 week
8269387	6-8 week
8269375	6-8 week
3059215	calf
2855193	adult
2855206	adult
16748549	6-8 week
16748550	6-8 week
16748551	6-8 week
16748552	6-8 week
16748553	6-8 week
16748554	6-8 week
16748555	6-8 week
16748556	6-8 week
16748557	6-8 week
16748558	6-8 week
16748559	6-8 week
16748560	6-8 week
16748561	6-8 week
16748563	6-8 week
16748562	6-8 week
16748564	6-8 week
2855172	adult
21526111	newborn
8269368	6-8 week
2855211	adult
21527543	newborn
21527549	newborn
21527545	newborn
21527541	newborn
21514166	1 day
21514167	1 day
21514168	1 day
21514169	1 day
21514170	1 day
21514171	1 day
21514189	1 day
21514190	1 day
21514191	1 day
21514192	1 day
21514193	1 day
21514194	1 day
21514289	1 day
21514290	1 day
21514291	1 day
21514292	1 day
21514293	1 day
