tcell_id	h_age
1068565	35
1278843	43-46
1345709	31-39
1345713	31-39
1289758	37-57
1339331	11-50
1368429	17-57
1278854	29-38
1470412	73
1361101	17-57
1361110	17-57
1345641	31-39
1278860	29-38
1278861	29-38
1278846	43-46
1289394	20-65
1276708	31-80
1003623	27-60
16235	8-10
1088971	18-72
1095460	18-72
1288901	41-55
1473360	6-8
1464622	6 months-1.1 year
1003635	27-60
16802	50-76
1308945	31
1412639	4 months- 4 years
1412634	4 months- 4 years
1288920	41-55
1288929	41-55
1289750	37-57
1276704	31-80
2145651	2 months to 52 years
1637725	25
1637726	49
1636408	17
1636411	17
1636413	17
1643081	1-32
1643100	1-32
1663349	41-73
1663710	32-58
1278847	43-46
1278865	29-38
1473363	6-8
1473347	6-8
1278855	29-38
1662172	51
1651135	50-58
1651130	30-45
1651131	50-58
1651139	30-45
1651132	30-45
1651133	50-58
1651140	50-58
1656214	28-44
1656215	28-44
1656216	28-44
1651134	30-45
1620916	51
1620917	54
1651141	30-45
1651142	50-58
1651137	30-45
1620905	36
1620767	43
1620920	48
1620921	29
1620918	48
1620919	48
1620922	27
1651138	50-58
1651146	30-45
1651147	50-58
1651148	30-45
1651149	50-58
1662447	38
1662418	38
1645128	45-52
1645129	45-52
1645130	45-52
1662442	38
1662448	38
1645131	45-52
1645132	45-52
1661270	12-20
1661271	12-20
1661272	12-20
1661273	12-20
1662413	38
1661269	12-20
1645134	45-52
1658713	19-25
1658714	19-25
1658715	19-26
1658716	19-26
1658717	19-26
1658712	19-25
1643094	1-32
1658718	19-26
1658719	19-26
1658720	19-26
1662424	39
1662425	39
1662426	39
1661253	12-20
1662430	39
1662431	39
1662432	39
1662427	39
1662428	39
1662429	39
1662415	38
1662444	38
1662445	38
1656225	29-55
1657082	19-48
1657083	19-25
1657091	19-25
1656232	29-55
1656233	29-55
1656238	29-55
1656234	29-55
1656208	28-44
1650442	23-53
1649783	24-36
1650455	23-53
2366385	15
1643088	1-32
1643103	1-32
1643091	1-32
1703536	43-65
1643069	1-32
1666883	26
1666885	26
1068480	35
1645127	45-52
1656861	23-53
1657080	19-48
1656240	29-55
1657081	19-25
1657084	19-48
1657085	19-25
1657086	19-48
1657087	19-25
1657088	19-48
1657089	19-25
1656241	29-55
1656323	29-55
1656328	29-55
1657090	19-48
1656329	29-55
1656330	29-55
1656331	29-55
1656332	29-55
1656333	29-55
1656334	29-55
1656324	28-44
1656326	28-44
1656337	29-55
1656342	29-55
1656325	28-44
1656327	28-44
1656343	29-55
1656344	29-55
1656345	29-55
1656346	29-55
1656347	29-55
1656348	29-55
1656338	28-44
1656356	29-55
1656357	29-55
1656358	29-55
1656341	28-44
1656340	28-44
1656351	29-55
1656355	28-44
1656354	28-44
1656471	18-70
1662416	38
1656359	29-55
1656360	29-55
1656361	29-55
1656362	29-55
1656352	28-44
1656353	28-44
1656373	29-55
1656374	29-55
1656375	29-55
1662417	38
1662419	38
1658656	19-48
1656365	29-55
1656370	29-55
1656371	29-55
1656372	29-55
1656376	29-55
1656366	28-44
1656367	28-44
1656369	28-44
1662423	39
1658709	19-25
1658711	19-25
1658654	19-48
1658655	19-48
1656368	28-44
1658710	19-25
1658657	19-48
1462101	5 months-3 years
1462102	5 months-3 years
1412625	4 months- 4 years
1068491	35
1067846	35
1276712	31-80
1276713	31-80
1068482	35
1464624	6 months-1.1 year
1464637	6 months-1.1 year
1464649	6 months-1.1 year
1412645	4 months- 4 years
1412644	4 months- 4 years
1036514	47
15863	18-61
1473343	6-8
1289291	20-65
1487411	6-8
1462106	5 months-3 years
1462107	5 months-3 years
1289761	37-57
1703524	43-65
1345698	31-39
1339333	11-50
1339546	17-88
1345708	31-39
1278844	43-46
1278857	29-38
1462113	5 months-3 years
1068547	35
1068515	35
1345629	31-39
1345690	31-39
1345696	31-39
1327952	32
1327965	26
1345640	31-39
1341781	1 month-old-81 years-old
1345650	31-39
1345652	31-39
1345628	31-39
1068457	35
1332923	9-72
1473344	6-8
1312645	32
1088965	18-72
1088970	18-72
1088977	18-72
1091147	18-72
2145656	2 months to 52 years
1068328	35
1289746	37-57
1095462	18-72
1095468	18-72
1288883	41-55
1288892	41-55
1288876	41-55
1288917	41-55
1288918	41-55
1288932	41-55
1068535	35
16793	30-86
1289398	20-65
1289403	20-65
1068358	35
1068321	35
1313588	49
1068561	35
1095463	18-72
1361107	17-57
1288884	41-55
1068447	35
1003620	27-60
1462108	5 months-3 years
1288885	41-55
1408556	47.6
1289391	20-65
1341774	1 month-old-81 years-old
5788	7-79
1289408	20-65
1091146	18-72
1345700	31-39
15860	18-61
1470432	73
1339334	11-50
1068548	35
1289437	20-65
1312613	29-38
1068442	35
1470389	73
1470390	73
1470415	73
1470430	73
1470442	73
1471738	73
1487682	6-8
1487683	6-8
1487687	6-8
1487688	6-8
1487684	6-8
1487685	6-8
1492093	4 wk - 3 mo
1493035	25
1493089	25
1493110	25
1473361	6-8
1498664	8 weeks to 6 months
1498665	8 weeks to 6 months
1498666	8 weeks to 6 months
1498667	8 weeks to 6 months
1498668	8 weeks to 6 months
1498669	8 weeks to 6 months
1498671	8 weeks to 6 months
1498656	8 weeks to 6 months
1498657	8 weeks to 6 months
1498658	8 weeks to 6 months
1498670	8 weeks to 6 months
1498672	8 weeks to 6 months
1498673	8 weeks to 6 months
1498674	8 weeks to 6 months
1492104	4 wk - 3 mo
1492103	4 wk - 3 mo
1493093	25
1493122	25
1498645	8 weeks to 6 months
1498646	8 weeks to 6 months
1498638	8 weeks to 6 months
1498653	8 weeks to 6 months
1498654	8 weeks to 6 months
1498655	8 weeks to 6 months
1498648	8 weeks to 6 months
1498649	8 weeks to 6 months
1498650	8 weeks to 6 months
1498651	8 weeks to 6 months
1498652	8 weeks to 6 months
1498659	8 weeks to 6 months
1498660	8 weeks to 6 months
1498661	8 weeks to 6 months
1498662	8 weeks to 6 months
1498663	8 weeks to 6 months
1464643	6 months-1.1 year
17795	25-37
1509532	14-74
1506513	25-73
1506515	25-73
1506516	25-73
1506519	25-73
1506517	25-73
1506518	25-73
1506521	25-73
1506514	25-73
1506507	25-73
1506512	25-73
1661670	27
1506522	25-73
1506523	25-73
1504490	20-51
1504500	20-51
1504502	20-51
1504503	20-51
1504501	20-51
1509517	14-74
1510380	60
1661699	34
1661700	27
1492777	38-53
1502362	38-53
1502363	38-53
1502365	38-53
1502366	38-53
1502367	38-53
1502361	38-53
1502360	38-53
1502364	38-53
1502368	38-53
1502548	16-53
1502552	16-53
1586289	19-57
1586293	19-57
1586263	30-78
1586264	19-57
1586265	30-78
1586176	19-57
1586277	30-78
1586279	19-57
1586262	19-57
1586290	19-57
1586272	19-57
1586273	30-78
1586276	19-57
1586298	19-57
1586282	30-78
1586294	19-57
1586295	19-57
1586297	19-57
1586179	30-78
1586322	30-78
1586324	30-78
1586280	30-78
1586301	19-57
1586302	19-57
1586303	19-57
1586304	19-57
1586321	30-78
1586326	30-78
1586327	30-78
1586299	19-57
1586300	19-57
1586328	30-78
1590223	19-57
1586296	19-57
1586309	30-78
1637558	13-45
1637564	12-43
1637565	12-43
1637566	12-43
1637552	12-43
1637555	13-45
1620773	43
1620777	46
1620782	46
1637571	10-52
1637556	13-45
1637557	13-45
1637575	12-41
1637568	12-43
1620780	54
1637572	13
1703015	23-32
1703014	23-32
1636274	25
1637548	12-43
1637549	12-43
1637551	12-43
1637576	10-52
1651124	30-45
1651125	50-58
1651153	30-45
1651154	50-58
1651155	30-45
1651156	50-58
1603517	27 to 51
1651144	30-45
1651145	50-58
1651151	30-45
1651152	50-58
1651160	30-45
1651161	50-58
1651162	30-45
1651163	50-58
1603518	27 to 51
1603516	27 to 51
1632109	54
1620771	46
1651158	30-45
1651159	50-58
1603515	27 to 51
1636277	49
1603513	27 to 51
1603514	27 to 51
1603508	27 to 51
1603511	27 to 51
1603512	27 to 51
1635138	40
1635160	15
1643097	1-32
1636414	17
1636415	17
1636416	17
1636429	12 years 9 months
1636430	12 years 9 months
1636428	12 years 9 months
1635828	19
1635831	19
1635834	19
1635835	17
1636438	12 years 9 months
1635836	17
1635838	17
1635839	17
1635840	17
1634566	28
1635841	17
1635883	15
16798	30-86
17790	21-35
1003652	27-60
1464642	6 months-1.1 year
1462095	5 months-3 years
1462098	5 months-3 years
1361094	17-57
1095465	18-72
1464617	6 months-1.1 year
1464620	6 months-1.1 year
1471739	73
1470388	73
1470433	73
1464626	6 months-1.1 year
1464627	6 months-1.1 year
1464633	6 months-1.1 year
1470387	73
1470413	73
1470419	73
1506520	25-73
1068537	35
1470441	73
1470446	73
1068542	35
1848027	23-64
1849440	23-64
1849438	23-64
1849439	23-64
1663333	32-63
1663336	32-63
1663335	32-63
1676043	8-10
1664323	45
1663340	32-63
1663339	32-63
1662440	38
1662446	38
1676045	8-10
1675290	33-39
1675291	26-55
1675296	33-39
1665668	41-73
1674577	26
1674578	26
1675297	26-55
1675298	33-39
1663331	32-63
1663332	32-63
1663334	32-63
22907733	26
1663338	32-63
1663337	32-63
1663572	32-58
1663653	41-73
1603519	27 to 51
1603520	27 to 51
1665669	32-58
1662340	51
1662339	51
1663564	41-73
1663426	32-58
1684941	39-43
1684942	39-43
1685019	29-63
1696554	18-45
1696669	19-61
1696657	19-61
1696661	19-61
1696663	19-61
1696659	19-61
1694688	24-67
1694689	24-67
1696665	19-61
1696667	19-61
1694690	24-67
1694692	24-67
1694693	24-67
1694694	24-67
1694695	24-67
1694691	24-67
1703119	23-32
1703117	23-32
1703033	23-32
1703037	23-32
1703537	43-65
1704096	33-87
1684994	29-63
1684997	29-63
1684996	29-63
1684999	29-63
1694696	24-67
1694697	24-67
1694698	24-67
1694699	24-67
1694700	24-67
1694701	24-67
1694702	24-67
1694703	24-67
1694704	24-67
1694705	24-67
1694708	23-67
1694710	23-67
1694711	23-67
1694712	23-67
1694706	23-67
1694709	23-67
1708334	6-15
1694713	23-67
1694718	23-67
1694714	23-67
1694715	23-67
1694716	23-67
1694717	23-67
1694723	23-67
1694724	23-67
1694719	23-67
1694720	23-67
1694721	23-67
1694722	23-67
1696687	19-61
1696689	19-61
1696691	19-61
1696693	19-61
1696695	19-61
1682468	20-58
1682469	20-58
1685002	29-63
1685005	29-63
1685004	29-63
1685007	29-63
1685006	29-63
1685010	29-63
1685013	29-63
1685012	29-63
1685015	29-63
1685018	29-63
1703025	23-32
1685014	29-63
1685017	29-63
1685016	29-63
1906434	26-39
1678706	25-45
1684992	29-63
1684993	29-63
1684995	29-63
1682470	20-58
1684998	29-63
1685001	29-63
1685000	29-63
1682454	20-58
1682461	20-58
1685003	29-63
1685009	29-63
1685008	29-63
1685011	29-63
1682467	20-58
1703121	23-32
1703125	23-32
1704098	33-87
1704107	33-87
1704100	33-87
1704108	33-87
1704109	33-87
1704110	33-87
1702591	8-10
1703538	43-65
1704101	33-87
1704102	33-87
1704111	33-87
1704112	33-87
1704113	33-87
1704114	33-87
1704115	33-87
1702589	8-10
1704116	33-87
1704117	33-87
1710058	38
1710060	38
1710061	38
1710062	38
1708344	6-15
1708343	6-15
1703020	23-32
1703123	23-32
1708336	6-15
1708326	6-15
1708337	6-15
1708335	6-15
1708338	6-15
1708339	6-15
1708345	6-15
1708346	6-15
1696709	19-61
1696711	19-61
1696713	19-61
1762236	2 to 62
1762237	2 to 62
1762238	2 to 62
1762239	2 to 62
1762245	2 to 62
1762233	2 to 62
1762234	2 to 62
1762235	2 to 62
1762246	2 to 62
1762251	2 to 62
1762247	2 to 62
1762248	2 to 62
1762249	2 to 62
1762250	2 to 62
1762241	2 to 62
1762242	2 to 62
1762244	2 to 62
1696542	18-45
1696717	19-61
1696719	19-61
1696721	19-61
1696723	19-61
1696557	18-45
1696558	18-45
1696697	19-61
1696699	19-61
1696701	19-61
1696707	19-61
1696715	19-61
1696725	19-61
1696671	19-61
1696673	19-61
1696675	19-61
1696727	19-61
1696677	19-61
1696679	19-61
1696681	19-61
1696683	19-61
1696685	19-61
1702592	8-10
1702593	8-10
1702594	8-10
1696703	19-61
1696705	19-61
1703010	23-32
1703012	23-32
1703013	23-32
1703017	23-32
1703019	23-32
1704118	33-87
1704119	33-87
1704120	33-87
1704121	33-87
1704122	33-87
1704123	33-87
1704124	33-87
1704127	33-87
1704128	33-87
1704129	33-87
1704130	33-87
1704131	33-87
1704125	33-87
1704126	33-87
1704133	33-87
1704134	33-87
1704135	33-87
1704132	33-87
1762243	2 to 62
1762262	2 to 62
1762263	2 to 62
1762258	2 to 62
1762259	2 to 62
1762260	2 to 62
1762261	2 to 62
1762252	2 to 62
1762253	2 to 62
1762254	2 to 62
1762255	2 to 62
1762256	2 to 62
1762257	2 to 62
1772217	19-62
1772219	19-62
1772221	19-62
1772222	19-62
1772223	19-62
1772229	19-62
1772230	19-62
1772231	19-62
1772238	19-62
1772239	19-62
1772240	19-62
1772224	19-62
1772225	19-62
1772226	19-62
1772227	19-62
1772228	19-62
1772246	19-62
1772243	19-62
1785354	37
1784743	36
1784744	36
1784745	36
1785362	37
1785363	37
1785364	37
1785365	37
1785366	37
1785367	37
1785360	37
1785361	37
1785383	37
1785384	37
1785385	37
1785368	37
1785369	37
1785390	37
1785391	37
1785392	37
1785386	37
1785387	37
1785388	37
1785389	37
1785393	37
1785394	37
1785395	37
1785400	37
1785401	37
1785402	37
1785396	37
1785397	37
1785398	37
1785399	37
1785405	37
1785403	37
1785404	37
1762240	2 to 62
1068376	35
1068513	35
1068368	35
1345630	31-39
3786512	7
1963687	56-85
1789000	63
1789001	63
1675299	26-55
1675300	33-39
1675301	26-55
1675302	33-39
1675303	26-55
1675304	33-39
1675311	26-55
1678704	25-45
1678705	25-45
1675305	26-55
1675306	33-39
1675307	26-55
1675308	33-39
1675309	26-55
1675310	33-39
1675319	26-55
1675434	43
1676041	8-10
1676046	8-10
1345625	31-39
1068415	35
2015533	26-64
2015534	26-64
2015535	26-64
2015536	26-64
2015537	26-64
2015538	26-64
2015539	31-54
2021514	6 months to 14 years
1884850	52-68
1884851	52-68
1884852	52-68
1904181	33-63
1904184	33-63
1910837	18-49
1910838	25-54
1910841	18-49
1910842	25-54
1910821	18-49
1910822	25-54
1910829	18-49
1910830	25-54
1910833	18-49
1910834	25-54
1910789	18-49
1910790	25-54
1910793	18-49
1910794	25-54
1910797	18-49
1910798	25-54
1910801	18-49
1910802	25-54
1910805	18-49
1910806	25-54
1910809	18-49
1910810	25-54
1910813	18-49
1910814	25-54
1910817	18-49
1910818	25-54
1910825	18-49
1910826	25-54
1906370	26-57
1910760	18-49
1910768	18-49
1910769	25-54
1910776	18-49
1910777	25-54
1910780	18-49
1910781	25-54
1906358	26-57
1906369	26-57
1910756	18-49
1910757	25-54
1910761	25-54
1910764	18-49
1910765	25-54
1910772	18-49
1910773	25-54
1910845	18-49
1910846	25-54
1910858	25-54
1910849	25-54
1910851	18-49
1910852	25-54
1910854	18-49
1910855	25-54
1910860	18-49
1910861	25-54
1910863	18-49
1910864	25-54
1910848	18-49
1910857	18-49
1906352	34-35
1906362	26-57
1906431	26-57
1906432	26-39
1906463	40
1906462	40
1906467	34-64
1906468	34-64
1906469	34-64
1906470	32
1906471	32
1906472	32
1906473	32
1906474	32
1906476	32-35
1906477	34-35
1906479	34
1906494	35-64
1906492	35-64
1906501	35-64
1906504	31
1906503	35-64
1906505	31
1906506	31
1906507	61
1906510	61
1906490	35-64
1906511	61
1906512	34-35
1906513	35-64
1906475	32-35
1906502	35-64
1906508	61
1906509	61
1906514	35-64
1906515	34-35
1927820	15-90
1927821	15-90
1927822	15-90
1906464	40
1906465	40
1927874	15-90
1927876	15-90
1927877	15-90
1940898	54-74
1940899	54-74
1940900	54-74
1940901	52-68
1940906	54-74
1927872	15-90
1927878	15-90
1927875	15-90
1940897	54-74
1940891	54-74
1940892	54-74
1940893	54-74
1940894	54-74
1940895	54-74
1940896	54-74
1940917	52-68
1940918	54-74
1940919	52-68
1940920	54-74
1940921	52-68
1941441	58-75
1941442	56-63
1941443	58-75
1941444	56-63
1941445	58-75
1941446	56-63
1941447	58-75
1941448	56-63
1941449	58-75
1941454	56-63
1941456	56-63
1940904	52-68
1940905	54-74
1940910	54-74
1940911	52-68
1940912	54-74
1940913	52-68
1940914	54-74
1940915	52-68
1940916	54-74
1941566	56-63
1941567	58-75
1941568	56-63
1941569	58-75
1941570	56-63
1941572	56-63
1941573	58-75
1941451	58-75
1941452	56-63
1941453	58-75
1941574	56-63
1941575	58-75
1941576	56-63
1941577	58-75
1941457	58-75
1941458	56-63
1941459	58-75
1941460	56-63
1941461	58-75
1941582	56-63
1941583	58-75
1941462	56-63
1941463	58-75
1941464	56-63
1941465	58-75
1941466	56-63
1941467	58-75
1941469	58-75
1941470	56-63
1941471	58-75
1941472	56-63
1941473	58-75
1941486	56-63
1941487	58-75
1941488	56-63
1941489	58-75
1941491	58-75
1941492	56-63
1941494	56-63
1941495	58-75
1941496	56-63
1941497	58-75
1941502	56-63
1941503	58-75
1941694	56-63
1941695	58-75
1941696	56-63
1941697	58-75
1941699	58-75
1941700	56-63
1941701	58-75
1941578	56-63
1941580	56-63
1941581	58-75
1941702	56-63
1941703	58-75
1941584	56-63
1941585	58-75
1941587	58-75
1941588	56-63
1941589	58-75
1941707	58-75
1941708	56-63
1941590	56-63
1941591	58-75
1941592	56-63
1941593	58-75
1941595	58-75
1941596	56-63
1941597	58-75
1941475	58-75
1941476	56-63
1941477	58-75
1941598	56-63
1941599	58-75
1941600	56-63
1941601	58-75
1941478	56-63
1941479	58-75
1941480	56-63
1941481	58-75
1941483	58-75
1941484	56-63
1941485	58-75
1941493	58-75
1941614	56-63
1941615	58-75
1941616	56-63
1941617	58-75
1941619	58-75
1941620	56-63
1941499	58-75
1941500	56-63
1941501	58-75
1941622	56-63
1941623	58-75
1941624	56-63
1941625	58-75
1941504	56-63
1941505	58-75
1941507	58-75
1941508	56-63
1941509	58-75
1941630	56-63
1941631	58-75
1941510	56-63
1941511	58-75
1941512	56-63
1941513	58-75
1941515	58-75
1941516	56-63
1941518	56-63
1941519	58-75
1941520	56-63
1941521	58-75
1941526	56-63
1941527	58-75
1941819	58-75
1941820	56-63
1941821	58-75
